species	genus	model	trait_category	marine_binary	binary_aquatic_endpoint	aquaticity_score	held_out_genus	corrected_globalFDR_OOF_prediction	nested_ttest_OOF_prediction	prediction_delta	nested_OOF_available	exclusion_reason	fold_n_candidate_features_FDR	fold_n_features_after_preprocessing	fold_n_selected_predictors	fold_model_status	panel	plot_color	source_file
Muntiacus_reevesi	Muntiacus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Muntiacus	5.57037427921091e-05	0.000141284026691612	8.55802838995025e-05	TRUE		1243	1243	94	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Mus_caroli	Mus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Mus	0.0222784186097017	0.0316903651609169	0.00941194655121519	TRUE		1219	1219	66	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Muscardinus_avellanarius	Muscardinus	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Muscardinus	0.0016993886435751	0.00160207297307615	-9.73156704989475e-05	TRUE		1226	1226	102	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Mustela_erminea	Mustela	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Mustela	0.440972301278133	0.326211269277988	-0.114761032000145	TRUE		1239	1239	86	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Mustela_putorius_furo	Mustela	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Mustela	0.00429014956663707	0.0162846225487931	0.011994472982156	TRUE		1239	1239	86	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Myocastor_coypus	Myocastor	binary_aquatic_dependence_nested_ttest_baseline	non-marine aquatic	0	1	8	Myocastor	0.0296727879858931	0.017717939925647	-0.0119548480602461	TRUE		1294	1294	79	fit_nonzero_predictors	Binary aquatic-dependence model	#d95f0e	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Myodes_glareolus	Myodes	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Myodes	0.729914151092537	0.727906533532808	-0.00200761755972889	TRUE		1223	1223	109	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Myotis_myotis	Myotis	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Myotis	0.0008472031744909	0.00873621483514261	0.00788901166065171	TRUE		1214	1214	88	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Myrmecophaga_tridactyla	Myrmecophaga	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Myrmecophaga	0.0879433668013375	0.109002335238827	0.0210589684374897	TRUE		1217	1217	88	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
Nanger_granti	Nanger	binary_aquatic_dependence_nested_ttest_baseline	terrestrial	0	0	0	Nanger	0.168727941895347	0.178565787757366	0.00983784586201947	TRUE		1229	1229	88	fit_nonzero_predictors	Binary aquatic-dependence model	#bdbdbd	${ENDPOINT_FIX_ROOT}/10_reviewer_risk_controls/12B_nested_ttest_baseline_robustness/nested_ttest_baseline/nested_ttest_OOF_predictions.tsv
