"target_name","display_label","branch_id","model","gene","gene_order","module","predictor_class","coefficient","scaled_GBI","contribution","abs_contribution","top_abs_rank","top_set"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","SLC5A5",19,"Transport / endocytic / epithelial solute handling","aquatic_specific",-0.231105741131879,-1.13510413490018,0.262329082357966,0.262329082357966,9,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","TTC28",15,"Developmental / transcriptional signaling regulators","aquatic_specific",-0.237914556985983,-1.10251935653359,0.262305404278161,0.262305404278161,10,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","PUSL1",6,"Metabolism / redox / lipid handling","shared",-0.314220898750119,0.799589526228338,-0.25124773956265,0.25124773956265,11,"top_absolute"
"Otariidae","Otariidae","B393","binary_aquatic_dependence","SEC61A2",87,"Membrane trafficking / ER / vesicle processing","aquatic_specific",0.176583875943885,1.40013815486525,0.247241822243024,0.247241822243024,12,"top_absolute"
"Otariidae","Otariidae","B393","marine","SDR9C7",68,"Epithelial / body-surface interface","shared",0.409389888665918,2.55593872449409,1.04637546985754,1.04637546985754,1,"top_absolute"
"Otariidae","Otariidae","B393","marine","HIGD1B",62,"Vascular / hematologic regulation","marine_specific",0.328380050132626,0.982658706583528,0.322685515331161,0.322685515331161,2,"top_absolute"
"Otariidae","Otariidae","B393","marine","TGM3",71,"Epithelial / body-surface interface","shared",0.691315381170856,-0.451513902045998,-0.312138505296869,0.312138505296869,3,"top_absolute"
"Otariidae","Otariidae","B393","marine","NR2C2AP",41,"Developmental / transcriptional signaling regulators","marine_specific",0.0628652617594018,4.54484588179623,0.28571292601526,0.28571292601526,4,"top_absolute"
"Otariidae","Otariidae","B393","marine","HGFAC",3,"Vascular / hematologic regulation","shared",-0.314672853107267,-0.817573571524875,0.25726820837683,0.25726820837683,5,"top_absolute"
"Otariidae","Otariidae","B393","marine","ESYT3",55,"Membrane trafficking / ER / vesicle processing","marine_specific",0.153832070750976,1.49753245265553,0.230368518208788,0.230368518208788,6,"top_absolute"
"Otariidae","Otariidae","B393","marine","ASMTL",10,"Endocrine / circadian / systemic regulation","shared",-0.225475311673798,-1.0189767812077,0.229754107331169,0.229754107331169,7,"top_absolute"
"Otariidae","Otariidae","B393","marine","SYDE1",4,"Cytoskeletal / muscle / ECM / adhesion","shared",-0.314258007626709,-0.700673326479718,0.220192203576695,0.220192203576695,8,"top_absolute"
