"display_label","branch_id","model","gene","gene_order","module","coefficient","scaled_GBI","contribution","abs_contribution","label_rank"
"Odontoceti","B591","marine","NKPD1",58,"Unassigned / low-confidence",0.230941713295598,3.30013257701517,0.762138271438499,0.762138271438499,6
"Odontoceti","B591","marine","WDR93",8,"Cilia / flagella / reproductive-cell function",-0.242927446164409,2.8334785110413,-0.688329698448994,0.688329698448994,7
"Otariidae","B393","binary_aquatic_dependence","PER1",100,"Endocrine / circadian / systemic regulation",0.784004329488712,1.19354907415823,0.935747641597296,0.935747641597296,1
"Otariidae","B393","binary_aquatic_dependence","ACADSB",14,"Metabolism / redox / lipid handling",-0.238865076823398,3.02406705652264,-0.722344009775387,0.722344009775387,2
"Otariidae","B393","binary_aquatic_dependence","SDR9C7",91,"Epithelial / body-surface interface",0.220181989308241,2.50011832341195,0.550481025954827,0.550481025954827,3
"Otariidae","B393","binary_aquatic_dependence","SLC6A15",16,"Transport / endocytic / epithelial solute handling",-0.23289351110375,2.22530909925717,-0.518260049417126,0.518260049417126,4
"Otariidae","B393","binary_aquatic_dependence","TGM3",101,"Epithelial / body-surface interface",1.04080869919882,-0.452983284835164,-0.471468943448094,0.471468943448094,5
"Otariidae","B393","binary_aquatic_dependence","NLRP8",11,"Immune / inflammatory regulation",-0.249357601464042,-1.24584100762268,0.310659925466337,0.310659925466337,6
"Otariidae","B393","binary_aquatic_dependence","TIGD7",26,"Developmental / transcriptional signaling regulators",-0.153350666144971,1.93834609322955,-0.297246664616254,0.297246664616254,7
"Otariidae","B393","marine","SDR9C7",68,"Epithelial / body-surface interface",0.409389888665918,2.55593872449409,1.04637546985754,1.04637546985754,1
"Otariidae","B393","marine","HIGD1B",62,"Vascular / hematologic regulation",0.328380050132626,0.982658706583528,0.322685515331161,0.322685515331161,2
"Otariidae","B393","marine","TGM3",71,"Epithelial / body-surface interface",0.691315381170856,-0.451513902045998,-0.312138505296869,0.312138505296869,3
"Otariidae","B393","marine","NR2C2AP",41,"Developmental / transcriptional signaling regulators",0.0628652617594018,4.54484588179623,0.28571292601526,0.28571292601526,4
"Otariidae","B393","marine","HGFAC",3,"Vascular / hematologic regulation",-0.314672853107267,-0.817573571524875,0.25726820837683,0.25726820837683,5
"Otariidae","B393","marine","ESYT3",55,"Membrane trafficking / ER / vesicle processing",0.153832070750976,1.49753245265553,0.230368518208788,0.230368518208788,6
"Otariidae","B393","marine","ASMTL",10,"Endocrine / circadian / systemic regulation",-0.225475311673798,-1.0189767812077,0.229754107331169,0.229754107331169,7
"Otariinae","B392","binary_aquatic_dependence","WDR93",2,"Cilia / flagella / reproductive-cell function",-0.4793197990576,-1.95118120400594,0.935239782629095,0.935239782629095,1
"Otariinae","B392","binary_aquatic_dependence","NWD1",97,"Developmental / transcriptional signaling regulators",0.404558879261438,-2.18087531346393,-0.882292472623907,0.882292472623907,2
"Otariinae","B392","binary_aquatic_dependence","CACNA1G",99,"Ion channels / mechanosensation / membrane signaling",0.593854706123962,-1.36052119398748,-0.80795191383086,0.80795191383086,3
"Otariinae","B392","binary_aquatic_dependence","PDGFB",5,"Vascular / hematologic regulation",-0.348561123284862,1.90195349480841,-0.66294704658599,0.66294704658599,4
"Otariinae","B392","binary_aquatic_dependence","OMP",92,"Sensory systems",0.231144543648012,2.28644775984868,0.528499924025243,0.528499924025243,5
"Otariinae","B392","binary_aquatic_dependence","PUSL1",6,"Metabolism / redox / lipid handling",-0.314220898750119,-1.658852287477,0.521246056664714,0.521246056664714,6
"Otariinae","B392","binary_aquatic_dependence","SPEF2",85,"Cilia / flagella / reproductive-cell function",0.174059525751515,2.68340474849165,0.467072157921821,0.467072157921821,7
"Otariinae","B392","marine","MYH7B",67,"Cytoskeletal / muscle / ECM / adhesion",0.397856553371577,3.8175256411827,1.51882759400857,1.51882759400857,1
"Otariinae","B392","marine","MYH13",70,"Cytoskeletal / muscle / ECM / adhesion",0.480299625271563,2.11524625248677,1.01595198242647,1.01595198242647,2
"Otariinae","B392","marine","EPOR",1,"Vascular / hematologic regulation",-0.562386788005208,-1.79609739748767,1.0101014463176,1.0101014463176,3
"Otariinae","B392","marine","CAPN14",63,"Epithelial / body-surface interface",0.342438899161804,2.81485196360131,0.963914807719074,0.963914807719074,4
"Otariinae","B392","marine","OMP",64,"Sensory systems",0.345615697623917,2.28401197045801,0.789390390551221,0.789390390551221,5
"Otariinae","B392","marine","SSTR4",52,"Endocrine / circadian / systemic regulation",0.137940410562783,4.12200465395837,0.56859101430872,0.56859101430872,6
"Otariinae","B392","marine","WDR93",8,"Cilia / flagella / reproductive-cell function",-0.242927446164409,-1.96092042820439,0.47636139175531,0.47636139175531,7
"Otarioidea","B394","binary_aquatic_dependence","PER1",100,"Endocrine / circadian / systemic regulation",0.784004329488712,1.30825562743724,1.02567807598877,1.02567807598877,1
"Otarioidea","B394","binary_aquatic_dependence","CACNA1G",99,"Ion channels / mechanosensation / membrane signaling",0.593854706123962,0.950106931070025,0.564225472336929,0.564225472336929,2
"Otarioidea","B394","binary_aquatic_dependence","FAM20B",28,"Developmental / transcriptional signaling regulators",-0.149046125022571,2.66112402284671,-0.396630223809778,0.396630223809778,3
"Otarioidea","B394","binary_aquatic_dependence","ATF7IP2",1,"DNA repair / chromatin / cell-cycle",-0.581769927151342,0.548589360018638,-0.319152792014044,0.319152792014044,4
"Otarioidea","B394","binary_aquatic_dependence","NLRP8",11,"Immune / inflammatory regulation",-0.249357601464042,-1.1910993312489,0.297009672345651,0.297009672345651,5
"Otarioidea","B394","binary_aquatic_dependence","SYTL5",93,"Membrane trafficking / ER / vesicle processing",0.265993756746688,-1.02446507838628,-0.272501314855755,0.272501314855755,6
"Otarioidea","B394","binary_aquatic_dependence","CORO2A",34,"Cytoskeletal / muscle / ECM / adhesion",-0.110434776748237,2.43830145314571,-0.269273276623049,0.269273276623049,7
"Otarioidea","B394","marine","SDR9C7",68,"Epithelial / body-surface interface",0.409389888665918,0.750207581006501,0.307127398064579,0.307127398064579,1
"Otarioidea","B394","marine","EPOR",1,"Vascular / hematologic regulation",-0.562386788005208,-0.502524437345524,0.282613104212874,0.282613104212874,2
"Otarioidea","B394","marine","KCNK18",69,"Ion channels / mechanosensation / membrane signaling",0.43928773003255,0.594147181232109,0.261001566548691,0.261001566548691,3
