Package	Version	LibPath	Priority
htmlwidgets	1.6.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
httpuv	1.6.16	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
httr	1.4.7	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
httr2	1.2.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ids	1.0.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
igraph	2.2.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
impute	1.80.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ini	0.3.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
inline	0.3.21	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
insight	1.4.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ips	0.0.12	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
isoband	0.2.7	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
iterators	1.0.14	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
janeaustenr	1.0.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
jomo	2.7-6	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
jquerylib	0.1.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
jsonlite	2.0.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
kernlab	0.9-33	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
knitr	1.50	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ks	1.15.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
labeling	0.4.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
lambda.r	1.2.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
later	1.4.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
lattice	0.22-7	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
lazyeval	0.2.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
leaps	3.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
libcoin	1.0-10	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
lifecycle	1.0.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
listenv	0.10.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
lme4	1.1-37	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
lmtest	0.9-40	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
loo	2.8.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
lubridate	1.9.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
magick	2.9.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
magrittr	2.0.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
maps	3.4.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
matrixStats	1.5.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
mclust	6.1.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
memoise	2.0.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
memuse	4.2-3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
methods	4.4.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	base
mgcv	1.9-4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
mice	3.19.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
microbenchmark	1.5.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
mime	0.13	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
miniUI	0.1.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
minpack.lm	1.2-4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
minqa	1.2.8	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
mitml	0.4-5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
mnormt	2.1.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
modelr	0.1.11	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
modeltools	0.2-24	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
moonBook	0.3.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
motmot	2.1.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
multcomp	1.4-29	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
multcompView	0.1-10	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
multicool	1.0.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
multipleROC	0.1.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
multtest	2.62.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
munsell	0.5.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
mvtnorm	1.3-3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
naturalsort	0.1.3	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ncbit	2013.03.29.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
networkD3	0.4.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
nleqslv	3.3.5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
nlme	3.1-168	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
nloptr	2.2.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
nnet	7.3-20	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	recommended
nortest	1.0-4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
numDeriv	2016.8-1.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
officer	0.7.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
openssl	2.3.4	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
openxlsx	4.2.8.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
optimParallel	1.0-2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
ordinal	2025.12-29	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
otel	0.2.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
pROC	1.19.0.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
pan	1.9	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
parallel	4.4.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	base
parallelly	1.45.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
patchwork	1.3.2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
pbkrtest	0.5.5	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
pcaMethods	1.98.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
permute	0.9-8	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
phangorn	2.12.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
phyloseq	1.50.0	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
phytools	2.5-2	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
pillar	1.11.1	/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library	NA
