species	marine_binary	aquaticity_score_sum_0_18	aquatic_v1_status	aquatic_v2_status	aquatic_v3_status	legacy_marine2	legacy_aquatic2	aquatic_trait_source	aquatic_scoring_scheme	aquatic_score_range
Neovison_vison	0	9	1	1	1	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Noctilio_leporinus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Nomascus_leucogenys	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Nycticebus_coucang	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ochotona_princeps	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Octodon_degus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Odobenus_rosmarus_divergens	1	14	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Odocoileus_hemionus_hemionus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Odocoileus_virginianus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Okapia_johnstoni	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ondatra_zibethicus	0	10	1	1	1	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Onychomys_torridus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Orcinus_orca	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Oreamnos_americanus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Oreotragus_oreotragus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Orycteropus_afer_afer	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Oryctolagus_cuniculus_cuniculus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Oryx_dammah	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Oryx_gazella	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Otolemur_garnettii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ovis_canadensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ovis_nivicola_lydekkeri	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Ovis_orientalis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Pachyuromys_duprasi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Pan_troglodytes	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Panthera_leo	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Panthera_onca	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Panthera_pardus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Panthera_uncia	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Papio_anubis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Paradoxurus_hermaphroditus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Pedetes_capensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Peponocephala_electra	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Peromyscus_californicus_insignis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Petromus_typicus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Phataginus_tricuspis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Phoca_largha	1	15	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Phoca_vitulina	1	15	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Phocoena_phocoena	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Phocoena_sinus	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Phyllostomus_discolor	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Physeter_catodon	1	18	1	1	1	1	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Piliocolobus_tephrosceles	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Pipistrellus_kuhlii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Pithecia_pithecia	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Platanista_minor	1	18	1	1	1	0.5	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Plecturocebus_donacophilus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Pongo_abelii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Potos_flavus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Prionailurus_bengalensis_euptilurus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Procapra_przewalskii	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Procavia_capensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Procyon_lotor	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Prolemur_simus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Propithecus_coquereli	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Przewalskium_albirostris	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Psammomys_obesus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Pteronura_brasiliensis	0	12	1	1	1	0	1	TY_NK_final_18pt	3+3+3+5+4	0-18
Pteropus_pselaphon	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Puma_yagouaroundi	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Pygathrix_nemaeus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Rangifer_tarandus_granti	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Rhinoceros_unicornis	0	3	1	0.5	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Rhinolophus_sinicus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Rhinopithecus_bieti	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Rhizomys_pruinosus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Rhombomys_opimus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Rousettus_aegyptiacus	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Saguinus_imperator	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
Saimiri_boliviensis_boliviensis	0	0	0	0	0	0	0	TY_NK_final_18pt	3+3+3+5+4	0-18
